Date;AMZN;NFLX;PFE;AAPL;NKE
01/02/2016;574.809998;94.089996;23.479630;22.301582;59.697193
02/02/2016;552.099976;91.489998;23.456278;21.850603;59.120644
03/02/2016;531.070007;90.739998;23.322649;22.283085;59.063934
04/02/2016;536.260010;89.709999;22.795988;22.462126;56.871132
05/02/2016;502.130005;82.790001;22.819571;21.862209;54.035599
08/02/2016;488.100006;83.320000;22.450113;22.092409;52.022385
09/02/2016;482.070007;86.129997;22.874592;22.087757;52.627304
10/02/2016;490.480011;88.449997;23.181162;21.920340;54.262451
11/02/2016;503.820007;86.349998;22.898178;21.787796;52.929756
12/02/2016;507.079987;87.400002;23.078970;21.855232;53.326721
16/02/2016;521.099976;89.050003;23.432701;22.471428;54.621616
17/02/2016;534.099976;94.760002;23.291204;22.815565;54.980778
18/02/2016;525.000000;90.489998;23.228329;22.383070;55.387203
19/02/2016;534.900024;89.230003;23.181162;22.331917;56.058281
22/02/2016;559.500000;91.930000;23.621361;22.527231;56.871132
23/02/2016;552.940002;89.120003;23.550610;22.018002;56.908928
24/02/2016;554.039978;91.610001;23.597775;22.345863;57.088516
25/02/2016;555.150024;94.529999;24.045830;22.499331;58.959965
26/02/2016;555.229980;94.790001;23.762852;22.534208;59.167908
29/02/2016;552.520020;93.410004;23.322649;22.483057;58.213272
01/03/2016;579.039978;98.300003;23.613495;23.375963;59.470360
02/03/2016;580.210022;97.610001;23.566334;23.427116;58.808739
03/03/2016;577.489990;97.930000;23.495590;23.601511;58.249649
04/03/2016;575.140015;101.580002;23.354097;23.952627;58.050648
07/03/2016;562.799988;95.489998;23.416979;23.687551;56.145950
08/03/2016;560.260010;96.230003;23.078970;23.492224;56.676613
09/03/2016;559.469971;98.000000;23.377676;23.513155;55.274147
10/03/2016;558.929993;97.360001;23.259768;23.524775;55.795338
11/03/2016;569.609985;97.660004;23.975088;23.778234;56.932465
14/03/2016;573.369995;98.129997;23.660664;23.838688;57.624229
15/03/2016;577.020020;97.860001;23.220463;24.317701;58.183319
16/03/2016;574.270020;99.349998;22.827431;24.640911;58.619221
